"","metric","Hyp.No1","Hyp.No2","Hyp.No3","Hyp.No4","Hyp.No5","Hyp.No6","Hyp.No7","Hyp.No8","seed","case"
"1","statistic",2.70862829685746,1.34536492374728,1.95633012116836,4.06976744186047,4.43262411347518,1.09575115740741,1.61415460030166,2.02323908730159,1,"n = 100"
"2","p.value",0.049903389139626,0.123045032233247,0.0266768276128863,0.0218286422540621,0.0176291302429367,0.147600221060198,0.101954387656548,0.0774541979851401,1,"n = 100"
"3","statistic",5.10084134615385,7.39972817267121,2.27237037231554,8.72472942129733,5.17150128518914,0.310956790123457,2.62130856232969,0.00331594265581775,2,"n = 100"
"4","p.value",0.0119571206515173,0.00326168668789732,0.0128266551182622,0.00156961327416328,0.011480182462313,0.2885468266849,0.0527187291577196,0.522960091194017,2,"n = 100"
"5","statistic",15.8390956129927,4.44420122114869,4.30346565947475,2.41267026322724,8.62494715417473,5.78489929785662,1.87249664823194,2.49959474166571,3,"n = 100"
"6","p.value",3.44813945769136e-05,0.0175099845876469,2.07682871737529e-05,0.0601784546062088,0.00165795029830376,0.00808221194832132,0.0855947045087612,0.0569377989323791,3,"n = 100"
"7","statistic",12.3857142857143,5.53846153846154,3.60604925112736,0.467775467775468,5.01960784313725,5.69416126042632,2.88943488943489,0.0428571428571429,4,"n = 100"
"8","p.value",0.000216315552415266,0.00930146495056788,0.00025611585788278,0.247006170674997,0.0125309221719418,0.00851072270586608,0.0445810975336911,0.417997249262421,4,"n = 100"
"9","statistic",27.7630785186731,9.24682107348874,3.30909139025551,0.931272893772894,0.978796296296296,1.57293159767929,3.52621190601049,0.0950708277735417,5,"n = 100"
"10","p.value",6.85590501111132e-08,0.00117952291199887,0.000665116125915894,0.167266191364327,0.161248080996428,0.104890892469383,0.0302028246183764,0.378913498838699,5,"n = 100"
"11","statistic",4.02867789994063,0.00900579484518253,3.61357698823461,3.46537399983669,4.56755430661492,0.745511514333445,2.28874044362682,3.37313944077075e-31,6,"n = 100"
"12","p.value",0.0223664918131022,0.462197578466979,0.000241730856354779,0.0313331672747969,0.0162915253114711,0.193950521690595,0.065157819347726,0.5,6,"n = 100"
"13","statistic",11.7941026429235,10.7671294649913,3.35882060122665,5.08134459058696,3.92039951020707,4.51333754972593,5.01933328237078,4.16157483552631,7,"n = 100"
"14","p.value",0.000297093228752593,0.0005165931190586,0.000617097063450815,0.0120923038463037,0.0238517712905262,0.0168157773599087,0.0125329092979597,0.0206754700236132,7,"n = 100"
"15","statistic",1.50588235294118,7.64210526315789,2.7437235331385,4.53579021970234,0.842105263157895,0.0836236933797909,3.675,0.341686368354284,8,"n = 100"
"16","p.value",0.109884239751081,0.00285106638076217,0.00363831267708141,0.0165965641307604,0.179397678943471,0.613777269714443,0.0276171268590319,0.279428715913217,8,"n = 100"
"17","statistic",6.26187492210867,12.5930321002453,2.04491161679932,5.26370431893688,9.375,0.288092438610373,12.9696984503806,3.27727754237288,9,"n = 100"
"18","p.value",0.00616817890459956,0.000193593752280572,0.0225325273104655,0.0108873128924201,0.00109982353055653,0.295722770759411,0.000158286502849623,0.0351226811309438,9,"n = 100"
"19","statistic",12.3649350990396,16.4241727941176,3.22938130208366,0.00597940325555512,1.72664810605093,9.31344151631241,3.62350951673156,3.14811972568049,10,"n = 100"
"20","p.value",0.000218736386402941,2.53176856200472e-05,0.000848622433464647,0.469181864774275,0.094419766019926,0.00113739395344718,0.028484289608717,0.0380072539756802,10,"n = 100"
"21","statistic",4.98285368620038,15.4909048528602,4.79334084651565,11.1338054635412,8.37233455882353,6.77342431911507e-33,12.1069839816934,2.53749055993095,11,"n = 100"
"22","p.value",0.0127998612517993,4.14515995827761e-05,3.17122855068745e-06,0.00042384251253755,0.00190487951552488,0.5,0.000251166599902084,0.0555856739252086,11,"n = 100"
"23","statistic",17.7067278175862,7.96652980169831,1.39548321521182,3.1669061302682,8.01254540478678,3.41544734809101,3.19168536052274,0.0971460551486321,12,"n = 100"
"24","p.value",1.28856749152565e-05,0.00238251010045668,0.0831287907114571,0.0375723343151293,0.00232271979859695,0.0322944527343544,0.0370068345000643,0.377640869120626,12,"n = 100"
"25","statistic",4.40793523606023,5.03374475465966,4.2524817505742,0.0105632940517689,0.835999424843179,8.61558552649664,4.87502654789361,5.23170073113991,13,"n = 100"
"26","p.value",0.0178860570573709,0.012429047404045,2.85253676852194e-05,0.459069627971261,0.180271724824114,0.00166649318300811,0.0136240108773873,0.0110894178252721,13,"n = 100"
"27","statistic",1.28937728937729,8.05852524338854e-31,3.01656078475287,5.07462611092148,8.23454412712861,0.84040404040404,1.18210924858293e-33,9.3428352140943e-31,14,"n = 100"
"28","p.value",0.128081370001668,0.5,0.00168697288468501,0.0121392537985898,0.00205502472880594,0.179640620319335,0.5,0.5,14,"n = 100"
"29","statistic",2.97170868613403,4.83154111752376,3.33083335121942,10.9304917279412,4.81351102941177,1.34802772540922,3.04027166770964,0.184797105155483,15,"n = 100"
"30","p.value",0.0423661570180009,0.013971820804186,0.000619816981434196,0.000472971928502605,0.0141187285402518,0.12281160431681,0.0406111615865077,0.333641344345739,15,"n = 100"
"31","statistic",2.82960687410416,0.381479150775489,0.754749188092277,3.16753439095749,8.5240930944056,0.869745298481711,1.48047988136733,0.0717650103519669,16,"n = 100"
"32","p.value",0.046270505041768,0.268406340556688,0.226168270903884,0.0375578823240265,0.00175237677384055,0.175512915214188,0.111849727753234,0.605607974356177,16,"n = 100"
"33","statistic",0.680851063829787,11.6125730994152,2.66115864044469,1.63029497513291,0.531641227919739,1.96601307189543,3.69070512820513,2.16447368421053,17,"n = 100"
"34","p.value",0.20464690867672,0.000327537304185628,0.00459462115955834,0.100831127102267,0.232958834693433,0.0804358442838008,0.0273582399531035,0.0706164859710017,17,"n = 100"
